Dee Wallace,Book now for $50,Actress - E.T.,1 DAY.,40 Reviews,5 stars,"['https://www.cameo.com/c/actors', 'https://www.cameo.com/c/nineties-throwback', 'https://www.cameo.com/c/comic-con']"
Carson Kressley,Book now for $75,Bravo - Queer Eye for the Straight Guy/ RuPauls Drag Race,2 DAYS.,629 Reviews,5 stars,"['https://www.cameo.com/c/reality', 'https://www.cameo.com/c/bravo', 'https://www.cameo.com/c/stylists', 'https://www.cameo.com/c/featured', 'https://www.cameo.com/c/browse-featured', 'https://www.cameo.com/c/actors', 'https://www.cameo.com/c/queer-eye', 'https://www.cameo.com/c/trending-now']"
Ross Mullan,Book now for $30,Actor - Game of Thrones,3 HOURS.,55 Reviews,5 stars,"['https://www.cameo.com/c/game-of-thrones', 'https://www.cameo.com/c/actors', 'https://www.cameo.com/c/comic-con', 'https://www.cameo.com/c/hbo']"
Corbin Bernsen,Book now for $75,Actor - Major League,1 DAY.,45 Reviews,5 stars,"['https://www.cameo.com/c/family', 'https://www.cameo.com/c/actors', 'https://www.cameo.com/c/television']"
Kane Hodder,Book now for $100,Actor - Friday the 13th,8 HOURS.,44 Reviews,5 stars,"['https://www.cameo.com/c/actors', 'https://www.cameo.com/c/comic-con', 'https://www.cameo.com/c/horror']"
Tommy “Tiny” Lister,Book now for $100,Actor - Friday,4 HOURS.,234 Reviews,4.6 stars,"['https://www.cameo.com/c/actors', 'https://www.cameo.com/c/nineties-throwback', 'https://www.cameo.com/c/comic-con']"
Shane Kippel,Book now for $40,Actor - Degrassi,1 DAY.,51 Reviews,5 stars,"['https://www.cameo.com/c/actors', 'https://www.cameo.com/c/television']"
Larry Hankin,Book now for $30,Actor - F.R.I.E.N.D.S,1 DAY.,94 Reviews,5 stars,"['https://www.cameo.com/c/actors', 'https://www.cameo.com/c/nineties-throwback', 'https://www.cameo.com/c/television', 'https://www.cameo.com/c/comic-con', 'https://www.cameo.com/c/seinfeld', 'https://www.cameo.com/c/friends']"
Steve Guttenberg,Book now for $150,"Actor - Police Academy, Three Men and a Baby",1 HOUR.,65 Reviews,5 stars,"['https://www.cameo.com/c/comedians', 'https://www.cameo.com/c/featured', 'https://www.cameo.com/c/browse-featured', 'https://www.cameo.com/c/actors', 'https://www.cameo.com/c/disney', 'https://www.cameo.com/c/comic-con']"
Peter Weller,Book now for $200,Actor,4 HOURS.,25 Reviews,5 stars,"['https://www.cameo.com/c/voice-actors', 'https://www.cameo.com/c/actors', 'https://www.cameo.com/c/nineties-throwback', 'https://www.cameo.com/c/television', 'https://www.cameo.com/c/comic-con', 'https://www.cameo.com/c/sci-fi']"
